"cow","diet","n_obs","level_early","level_late","net_change","slope_linear","curvature","turning_week","turning_inside","dev_sd","dev_acf1","dev_skew"
"BL21","barley+lupins",15,3.3375,3.102,-0.2355,-0.0377643826761473,-0.00734647705235943,6.42976242850859,1,0.14343855667192,0.203881037181103,-0.397785384652393
"BL22","barley+lupins",19,3.3775,3.248,-0.1295,0.000816158042164242,-0.00230281586318738,9.17720870678617,1,0.317886020878123,0.193890938928146,0.570980945241096
"BL23","barley+lupins",14,3.6675,3.182,-0.4855,-0.0435755494505495,0.00139423076923081,14,0,0.203571757055096,-0.56208154715151,-0.00792654064302882
"BL24","barley+lupins",19,3.4075,3.486,0.0785000000000005,-0.00999380804953544,0.00576883384932918,9.86618962432915,1,0.194732361412082,0.116371629184081,0.225696128047005
"BL25","barley+lupins",14,3.7425,3.342,-0.4005,-0.0666868131868132,-0.00700549450549452,4.24039215686275,1,0.229758887180402,0.20858310061981,-0.161490773079628
"BL26","barley+lupins",18,3.9,3.866,-0.0340000000000003,-0.0034874871001032,0.0101954334365325,9.17103182134497,1,0.266282070574973,0.218114900247851,-0.532429641723504
"BL27","barley+lupins",18,3.6675,3.74,0.0724999999999998,-0.00572896880304206,0.00503322075800721,9.5691155900452,1,0.251154400105578,-0.0583353053543444,0.224539936659372
"L01","lupins",19,3.3925,3.712,0.3195,0.0241851688043639,0.00274952086097596,4.60193029490614,1,0.217898888549417,0.0351087487574348,-0.342041071799375
"L02","lupins",19,3.4975,3.352,-0.1455,-0.0142047766475011,0.00553221288515406,10.2838241172552,1,0.240157950601431,0.212194740348409,0.468160554165496
"L03","lupins",19,3.08,3.178,0.0979999999999999,0.00949461890019174,0.00155093616393925,5.93906844106459,1,0.144756141238391,-0.0213054402350683,0.0944262126848971
"L04","lupins",19,3.265,3.29,0.0250000000000004,0.0184380067816601,-0.00303479286451424,12.0377702210347,1,0.214532975542911,0.359325537680582,-0.615719989634447
"L05","lupins",19,3.6925,3.594,-0.0985,-0.0137017543859648,0.00535087719298244,10.2803278688525,1,0.164225514135829,-0.0287498195922808,-0.578064363137035
"L06","lupins",14,3.785,3.224,-0.561,-0.0471950549450549,0.005206043956044,13.5327176781002,1,0.160580387539123,-0.0296875627094591,0.319091960194611
"L07","lupins",19,2.8875,2.828,-0.0595000000000003,0.00400899307091266,-0.00360975969335104,9.55529916275272,1,0.149976034035884,-0.0179858061084046,-0.554869584432749
"L08","lupins",18,3.405,3.186,-0.219,-0.0173445562435502,-0.000993937048503582,1,0,0.210733436992431,0.175270176094505,-0.525464532031813
"L09","lupins",19,3.3225,3.078,-0.2445,-0.0212805543269939,0.00367536488279521,11.8950260730044,1,0.222134294364348,0.194158212388711,0.422502765397204
"L10","lupins",15,3.9475,2.904,-1.0435,-0.0973670006464124,0.000548642533936639,15,0,0.123575082802588,-0.0894403921737836,-0.999074531536806
"L11","lupins",14,3.65,3.072,-0.578,-0.0427252747252747,0.0051648351648352,13.1361702127659,1,0.172111937469318,-0.180236137939491,0.193911914685465
"L12","lupins",13,3.66,3.328,-0.332,-0.0387546542205813,-0.000876769822887073,1,0,0.208801330093512,0.358429448579468,0.600630127612899
"L13","lupins",15,3.45,3.436,-0.0140000000000002,-0.0117165481577246,-0.0061797026502909,8.05201359832636,1,0.34896135679254,0.112415314170407,-0.317292373476364
"L14","lupins",14,3.1875,2.728,-0.4595,-0.0426978021978022,0.000192307692307681,14,0,0.202218966880846,0.242019392915378,-0.894311239552582
"L15","lupins",15,3.205,2.84,-0.365,-0.0200872656755009,0.00388493859082092,11.5852745424293,1,0.205833671275769,0.212524261784595,0.078969565424444
"L16","lupins",19,3.2675,2.832,-0.4355,-0.0305684800235883,0.0025298540468819,15.0415501165501,1,0.269025094156464,0.112290525958972,0.902393606772119
"L17","lupins",12,3.4025,3.386,-0.0164999999999997,-0.0341152397908054,-0.0135829836225795,7.74419197067666,1,0.218136759344302,0.0142969571544024,0.668591748712182
"L18","lupins",16,3.5175,3.116,-0.4015,-0.0291267507002801,-0.00180322128851541,1,0,0.263586321406985,0.0124540079393721,-0.329601053834769
"L19","lupins",19,3.2925,3.434,0.1415,0.00190137107474572,0.00688264779596048,8.86187212166648,1,0.165354598565215,-0.0126481146682437,-0.170362079812116
"L20","lupins",19,3.5525,3.422,-0.1305,-0.0141491965207135,0.0070219666814094,10.0074952760865,1,0.230778884734559,0.205365025914514,0.568566844384556
"L21","lupins",19,3.085,3.29,0.205,0.0115273477812177,0.00099071207430341,3.1822916666667,1,0.197984570485208,-0.0372997983449305,-0.0883665668263942
"L22","lupins",18,3.6275,3.182,-0.4455,-0.0213248772758342,-0.000699294724414345,1,0,0.276627760359132,0.117482311165525,0.393034062514497
"L23","lupins",14,3.96,3.316,-0.644,-0.087543956043956,-0.00667582417582418,2.44320987654321,1,0.17556757374335,0.0516156263902856,0.145235226058953
"L24","lupins",19,3.5675,3.488,-0.0794999999999999,-0.0179806870116467,0.00752543122512162,10.1946615731218,1,0.163359132092365,0.0379344504045348,0.0493647712897233
"L25","lupins",14,3.4375,3.12,-0.3175,-0.0298612637362637,0.00194368131868132,14,0,0.180367164506519,-0.16980869726316,0.311303383382296
"L26","lupins",19,3.39,3.354,-0.0359999999999996,0.0147502579979362,-0.00440144478844172,10.6756154747948,1,0.247839405781979,0.351495288220352,0.152949620059004
"L27","lupins",14,3.98,3.38,-0.6,-0.0554148351648352,0.000920329670329697,14,0,0.205962905670553,-0.16188268207808,0.20334707969613
